step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
1,5.776655623787327,2.611604928970337,19,71,4,7,1.1604610942304134
2,5.695964336395264,2.5056405067443848,37,141,8,13,0.4584983717650175
3,5.677137494087219,3.3622121810913086,49,211,32,17,0.38827522844076157
4,5.6237791061401365,2.1504275798797607,64,287,52,22,0.42478448897600174
5,5.5775675773620605,2.041405200958252,79,363,72,27,0.42189291678369045
6,5.58756548166275,1.7299312353134155,95,432,84,33,0.4097885414958
7,5.546790409088135,1.6915667057037354,110,499,96,38,0.4057655483484268
8,5.524795452753703,1.684682011604309,128,577,108,44,0.45504400692880154
9,5.50799789428711,1.664946436882019,143,645,120,49,0.38085480220615864
10,5.468908977508545,1.7431964874267578,158,721,140,54,0.4019638057798147
11,5.430935192108154,1.7388375997543335,173,797,160,59,0.4146964717656374
12,5.429224967956543,1.761681318283081,188,868,176,64,0.3942268993705511
13,5.434400637944539,1.6738778352737427,206,942,184,70,0.4223832618445158
14,5.39583033323288,1.6317249536514282,222,1010,196,76,0.3713235594332218
15,5.367648124694824,1.6227126121520996,241,1085,204,83,0.4221982564777136
16,5.343676487604777,1.6579734086990356,259,1163,216,89,0.448263319209218
17,5.28903169631958,1.7175240516662598,274,1239,236,94,0.4025114234536886
18,5.274072360992432,1.677747130393982,289,1310,252,99,0.39795289747416973
19,5.266326665878296,1.6454262733459473,307,1384,260,105,0.4321558177471161
20,5.191497325897217,1.7384010553359985,319,1454,284,109,0.354450561106205
21,5.223654556274414,1.6742321252822876,334,1522,296,114,0.3849783092737198
22,5.230223404733758,1.5417916774749756,353,1593,300,121,0.40506041049957275
23,5.1647907257080075,1.674897313117981,368,1660,312,126,0.3696478623896837
24,5.125800704956054,1.658389925956726,383,1727,324,131,0.3681791443377733
25,5.155199378728867,1.5736302137374878,399,1791,332,137,0.37341170758008957
26,5.060214161872864,1.7476035356521606,411,1857,352,141,0.3369737043976784
27,5.078632164001465,1.6933536529541016,426,1929,368,146,0.39345595985651016
28,5.0376763343811035,1.6619482040405273,441,2001,384,151,0.38836454413831234
29,5.012979984283447,1.6604539155960083,456,2073,400,156,0.3814113475382328
30,4.9569244384765625,1.6592304706573486,471,2149,420,161,0.4008549638092518
31,4.971860965092977,1.6281629800796509,489,2227,432,167,0.43795148096978664
32,4.895969390869141,1.714761734008789,504,2308,456,172,0.42748868092894554
33,4.930229008197784,1.5625437498092651,520,2377,468,178,0.3799334969371557
34,4.893441200256348,1.6426485776901245,538,2455,480,184,0.4327984470874071
35,4.86183443069458,1.68082594871521,553,2522,492,189,0.37001380138099194
36,4.8570252656936646,1.6026219129562378,569,2586,500,195,0.36530542001128197
37,4.766087818145752,1.6804109811782837,584,2662,520,200,0.40380881913006306
38,4.751513385772705,1.733776330947876,599,2734,536,205,0.3922492638230324
39,4.775498580932617,1.6827845573425293,614,2802,548,210,0.3731177616864443
40,4.71745023727417,1.7132235765457153,629,2869,560,215,0.3702994119375944
