step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
50,4.4132201194763185,1.7423992156982422,788,3593,704,270,0.39134852960705757
51,4.428147554397583,1.7199167013168335,806,3667,712,276,0.41118053160607815
52,4.371784687042236,1.7444806098937988,824,3741,720,282,0.4142706114798784
53,4.3326075077056885,1.6187915802001953,840,3814,736,288,0.39579933136701584
54,4.328982909520467,1.750121831893921,858,3893,748,294,0.4477236606180668
55,4.255512237548828,1.7765014171600342,873,3965,764,299,0.36960577592253685
56,4.276172369718552,1.6461741924285889,889,4029,772,305,0.3472061287611723
57,4.1552817821502686,1.813498616218567,901,4095,792,309,0.33647929318249226
58,4.137221932411194,1.7477411031723022,917,4168,808,315,0.397135054692626
59,4.09923529624939,1.794490098953247,932,4235,820,320,0.38793197460472584
60,4.09193213780721,1.788862943649292,950,4313,832,326,0.4410665389150381
61,4.0334104061126705,1.792803168296814,965,4385,848,331,0.3901018388569355
62,3.9286340713500976,1.8445619344711304,980,4456,864,336,0.39028507843613625
63,4.032463947931926,1.812651515007019,998,4530,872,342,0.4292370732873678
64,3.9212618350982664,1.8302556276321411,1013,4597,884,347,0.38706846348941326
65,3.980207794591,1.7062088251113892,1032,4677,896,354,0.4570171423256397
66,3.9106096426645913,1.8219435214996338,1050,4755,908,360,0.4416801333427429
67,3.7973700046539305,1.8618775606155396,1065,4827,924,365,0.3928136322647333
68,3.803665542602539,1.8364711999893188,1080,4899,940,370,0.38886583410203457
69,3.6898921489715577,1.8656537532806396,1095,4975,960,375,0.43027569353580475
70,3.780506992340088,1.839715600013733,1110,5043,972,380,0.37721166387200356
71,3.6614401817321776,1.8762657642364502,1125,5110,984,385,0.3817257471382618
72,3.568206214904785,1.9140921831130981,1140,5186,1004,390,0.40143522433936596
73,3.667388767004013,1.7565613985061646,1156,5250,1012,396,0.3803123589605093
74,3.6174896955490112,1.755548119544983,1172,5319,1024,402,0.38538645952939987
75,3.5320969581604005,1.8691794872283936,1187,5386,1036,407,0.37567545287311077
76,3.492075538635254,1.8765054941177368,1202,5453,1048,412,0.3630750421434641
77,3.550149440765381,1.8591440916061401,1220,5527,1056,418,0.4133314751088619
78,3.3271506309509276,1.929553508758545,1235,5603,1076,423,0.39002025313675404
79,3.3731696605682373,1.9256339073181152,1250,5671,1088,428,0.3646977171301842
80,3.2819222927093508,2.627666473388672,1265,5742,1104,433,0.37599210627377033
81,3.3187436312437057,1.8106266260147095,1281,5815,1120,439,0.3863286878913641
82,3.243784952163696,1.9052127599716187,1296,5887,1136,444,0.3872832488268614
83,3.2312457084655763,1.8983194828033447,1311,5959,1152,449,0.38090464659035206
84,3.257536292076111,1.922688364982605,1329,6033,1160,455,0.4240004029124975
85,3.044365930557251,1.9759739637374878,1344,6105,1176,460,0.3932401165366173
