event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second
validation,0,11.11579754286564,12.2355614898743,,,,
train,1,11.119267463684082,12.238964080810547,1.2579e-05,1.9195573329925537,74.45529527589679,225.2626886758121
train,10,11.089765548706055,12.2052583694458,0.00012473699999999998,1.759390950202942,75.82127142883837,217.85443172768314
train,20,10.524341583251953,11.59709358215332,0.00025001324999999997,0.7947554588317871,60.39848548732698,276.3645456557412
train,30,9.752864837646484,10.750219345092773,0.0003,0.8361251354217529,53.565498581156135,306.5032611453318
train,40,8.718156814575195,9.60725212097168,0.0003,0.9121057391166687,61.597568495199084,265.90335300778275
train,50,8.042550086975098,8.84731674194336,0.0003,0.5416789650917053,61.409666895866394,279.06029891123745
train,60,7.699037551879883,8.461055755615234,0.0003,0.45589905977249146,61.2149912789464,279.50669668533664
train,70,7.372371673583984,8.100271224975586,0.0003,0.42576971650123596,52.967476934194565,310.8322493905921
train,80,7.279850959777832,8.001642227172852,0.0003,0.37705183029174805,56.47738208435476,293.8167349048715
train,90,7.090841293334961,7.793137073516846,0.0003,0.38398516178131104,57.16153525933623,297.9276172820862
train,100,6.9458160400390625,7.630191326141357,0.0003,0.42656341195106506,65.70828715898097,252.89047574463822
train,110,6.84262752532959,7.520317077636719,0.0003,0.4062140882015228,61.70684258081019,280.92508504706575
train,120,7.040167808532715,7.738668441772461,0.0003,0.37955325841903687,56.06843729503453,292.82071682518597
train,130,6.7309980392456055,7.400051116943359,0.0003,0.4143255650997162,50.948627293109894,321.7947346388506
train,140,6.6645097732543945,7.327431678771973,0.0003,0.38858965039253235,61.47479033097625,279.0086783160179
train,150,6.737574577331543,7.408601760864258,0.0003,0.3925207555294037,55.53609446436167,296.2217663785639
train,160,6.602871894836426,7.262154579162598,0.0003,0.38533318042755127,59.19796785712242,288.3882778071744
train,170,6.570659160614014,7.226479530334473,0.0003,0.34417450428009033,64.38851750269532,268.029155963679
train,180,6.563561916351318,7.219815254211426,0.0003,0.3539886772632599,57.75262871570885,285.99563980552347
train,190,6.358288764953613,6.993829250335693,0.0003,0.4373222887516022,63.74727200716734,260.7484128596299
train,200,6.4127888679504395,7.051240921020508,0.0003,0.39532577991485596,55.46811390668154,306.53647298347863
validation,200,6.663889520784557,7.333284099428905,,,,
train,210,6.549590587615967,7.20546817779541,0.0003,0.35272833704948425,52.255003184080124,317.32846597647574
train,220,6.1991376876831055,6.820448398590088,0.0003,0.36541035771369934,53.961983850225806,303.49143659090043
train,230,6.104168891906738,6.715700149536133,0.0003,0.35331177711486816,53.763277804479,314.6385542473516
train,240,6.09644889831543,6.708169937133789,0.0003,0.357361376285553,65.23334498330951,260.29632551181413
train,250,6.24799919128418,6.873905181884766,0.0003,0.341719388961792,53.82316634058952,304.478556618126
train,260,6.352510452270508,6.991143226623535,0.0003,0.3530959486961365,53.159466886892915,315.84214408553015
train,270,6.054670333862305,6.660227298736572,0.0003,0.46951454877853394,51.12047178670764,320.8303723883979
train,280,6.198295593261719,6.823156356811523,0.0003,0.3641318678855896,58.38546581938863,279.55587526681677
train,290,6.127470970153809,6.744373798370361,0.0003,0.3610048294067383,52.87934645824134,310.6884086204418
train,300,6.050846576690674,6.661128997802734,0.0003,0.3489636182785034,58.914241060614586,277.6917720652266
train,310,5.8982648849487305,6.49359130859375,0.0003,0.35370975732803345,52.246814331039786,318.1246591359251
train,320,6.056883811950684,6.6675262451171875,0.0003,0.32962891459465027,55.39958882704377,307.6376623156509
train,330,5.875578880310059,6.467818260192871,0.0003,0.3701196312904358,48.45090705342591,351.75812046628977
train,340,5.821684837341309,6.408921718597412,0.0003,0.3516179323196411,57.10444671660662,301.07988061462265
train,350,6.077136516571045,6.692095756530762,0.0003,0.3653937578201294,56.78330749832094,287.1090240821578
train,360,5.896380424499512,6.4928483963012695,0.0003,0.3612913489341736,54.68411579914391,306.4326771150304
train,370,5.875243186950684,6.469956398010254,0.0003,0.3436774015426636,54.4828697219491,308.9594965519707
train,380,5.8455810546875,6.438347816467285,0.0003,0.3412812650203705,55.78344040736556,301.2363503808063
train,390,6.007484436035156,6.614819049835205,0.0003,0.3400160074234009,52.60125043429434,327.1595229755276
train,400,5.767213821411133,6.350834846496582,0.0003,0.36719852685928345,50.200418677181005,329.9374873048388
validation,400,6.092871541546627,6.711506102959183,,,,
train,410,5.929230690002441,6.53003454208374,0.0003,0.36645203828811646,51.71344071812928,317.1515910031156
train,420,5.487030982971191,6.044961929321289,0.0003,0.3542451858520508,54.41541714966297,303.97635204203243
train,430,5.657408714294434,6.230162143707275,0.0003,0.34370020031929016,52.95387920551002,319.2211836718675
train,440,5.702147006988525,6.28243350982666,0.0003,0.36202773451805115,55.080621203407645,301.4308778161135
train,450,5.799260139465332,6.38908576965332,0.0003,0.3562050759792328,50.3917020149529,323.96206810311406
train,460,5.656108856201172,6.231726169586182,0.0003,0.35668471455574036,47.64422547072172,354.1667396895641
train,470,5.449399948120117,6.006117343902588,0.0003,0.36674386262893677,55.10969537682831,299.5843088427209
train,480,5.687654495239258,6.266837120056152,0.0003,0.3676581382751465,47.42396090552211,344.63591163463707
train,490,5.197652816772461,5.727841377258301,0.0003,0.37811973690986633,52.27987761609256,325.11552771439653
train,500,5.662226676940918,6.237464904785156,0.0003,0.3392738401889801,58.79701901227236,288.1438597501651
train,510,5.391134262084961,5.941140174865723,0.0003,0.3699236810207367,57.117665488272905,293.48188264875233
train,520,5.604228973388672,6.177833557128906,0.0003,0.3647764027118683,52.62858004309237,313.6318704871927
train,530,5.3593549728393555,5.90715217590332,0.0003,0.356642484664917,50.679024836048484,323.9209920298849
train,540,5.613350868225098,6.188218116760254,0.0003,0.3651013970375061,50.8587282858789,322.0882737751868
train,550,5.425602912902832,5.9816389083862305,0.0003,0.35097455978393555,48.97200023941696,342.3588972889299
train,560,5.379614353179932,5.930770397186279,0.0003,0.344661146402359,53.83984440378845,310.16062889708076
train,570,5.338394641876221,5.8892059326171875,0.0003,0.3669165074825287,51.96414568461478,321.8372933811464
train,580,5.4679951667785645,6.030580520629883,0.0003,0.36321863532066345,51.24966240674257,321.54358148185514
