event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second
validation,0,11.192768474663248,12.312231734774102,,,,
train,1,11.189668655395508,12.309066772460938,1.2854249999999998e-05,3.3278398513793945,30.901710346341133,554.6294948696687
train,10,11.132266998291016,12.245779991149902,0.00012553574999999998,3.4088993072509766,36.32131482847035,448.05646703196095
train,20,10.112798690795898,11.136436462402344,0.00024995925,1.8495651483535767,27.30564002506435,597.7153432411272
train,30,9.068571090698242,9.972941398620605,0.0003,1.0600436925888062,32.032546289265156,528.087896829761
train,40,8.621326446533203,9.4782133102417,0.0003,0.5447786450386047,29.509337436407804,566.9391946211232
train,50,8.503926277160645,9.34743881225586,0.0003,0.4259354770183563,33.37262369133532,504.72507513316316
train,60,8.466617584228516,9.303730010986328,0.0003,0.4219990372657776,33.993502993136644,483.56299153161314
train,70,8.235472679138184,9.04924201965332,0.0003,0.6131302714347839,29.78783782199025,569.2256048031317
train,80,8.180917739868164,8.992158889770508,0.0003,0.5092290043830872,28.758559122681618,583.8609621702878
train,90,7.904065132141113,8.690240859985352,0.0003,0.5073540210723877,29.69257092103362,548.2516163148501
train,100,7.662835121154785,8.432229995727539,0.0003,0.48708513379096985,30.7610131688416,555.1507652321936
train,110,7.53549861907959,8.294021606445312,0.0003,0.6477052569389343,28.26824653148651,591.830129306582
train,120,7.423697471618652,8.17372989654541,0.0003,0.8877308368682861,27.860129611566663,592.7467039903468
train,130,7.3172173500061035,8.05587100982666,0.0003,0.6532962918281555,29.741377267986536,551.7229364378684
train,140,7.252453804016113,7.986877918243408,0.0003,0.6473352909088135,30.140532441437244,568.7689835376558
train,150,7.035340309143066,7.749890327453613,0.0003,0.6008327603340149,31.05152540281415,535.3360192247909
train,160,7.000689506530762,7.711304187774658,0.0003,0.7288025617599487,27.653456691652536,619.9948234744694
train,170,6.934307098388672,7.639242172241211,0.0003,0.564160943031311,30.34591919928789,549.3654646121646
train,180,6.986725807189941,7.697981834411621,0.0003,0.6213687658309937,29.05869791470468,574.2514702131858
train,190,6.644793510437012,7.321958541870117,0.0003,0.5803812146186829,30.23147815838456,538.8754037976726
train,200,6.983328819274902,7.694435119628906,0.0003,0.5733633637428284,28.956604979932308,562.738622545456
validation,200,6.908080075267451,7.610767251592386,,,,
train,210,6.7071356773376465,7.3919501304626465,0.0003,0.5457361936569214,29.392044520005584,565.6292466719781
train,220,6.653039932250977,7.3317084312438965,0.0003,0.6673259735107422,27.69817428290844,613.7227611600913
train,230,6.473290920257568,7.134036540985107,0.0003,0.6693372130393982,31.66053805872798,524.7226048143623
train,240,6.584140777587891,7.256258010864258,0.0003,0.6508073210716248,30.2076648902148,566.0814916395349
train,250,6.569060325622559,7.23789119720459,0.0003,0.7692791819572449,27.952936496585608,596.8603692867086
train,260,6.565685272216797,7.233691215515137,0.0003,0.7473189830780029,27.978913258761168,591.2309690877693
train,270,6.588998794555664,7.260275840759277,0.0003,0.6004582047462463,28.092785377055407,607.5581246543169
train,280,6.579226493835449,7.250542163848877,0.0003,0.6827446818351746,27.69944872148335,605.4994151198339
train,290,6.461157321929932,7.121420860290527,0.0003,0.693594217300415,30.337993698194623,551.6185469112244
train,300,6.39070987701416,7.044190883636475,0.0003,0.6892654895782471,27.745461121201515,595.7731222339897
train,310,6.475963592529297,7.136714935302734,0.0003,0.6995775103569031,29.622765017673373,555.2823981889026
train,320,6.5154242515563965,7.179990768432617,0.0003,0.5577200055122375,31.758168499916792,539.6406911829598
train,330,6.380324363708496,7.032557010650635,0.0003,0.5369241237640381,31.477978071197867,522.3334218865956
train,340,6.3503289222717285,7.001406669616699,0.0003,0.6294785737991333,29.70074227079749,565.6424289610492
train,350,6.2959465980529785,6.941068172454834,0.0003,0.5947892069816589,25.585889229550958,646.5673266846367
train,360,6.236564636230469,6.874344825744629,0.0003,0.6940698027610779,29.334677930921316,565.0650073279804
train,370,6.236273288726807,6.874350547790527,0.0003,0.6402171850204468,30.88513309136033,558.5535263510235
train,380,5.980393409729004,6.593932151794434,0.0003,0.5768350958824158,33.65205819346011,505.8531606636834
train,390,6.291337013244629,6.934075355529785,0.0003,0.7652863264083862,30.196272084489465,539.6030329309932
train,400,6.352426052093506,7.001524448394775,0.0003,0.7589856386184692,30.682828783988953,560.3133961680614
validation,400,6.341061746041064,6.989059728062688,,,,
train,410,6.149264335632324,6.778778076171875,0.0003,0.754067599773407,29.65937122143805,553.8553018321044
train,420,6.181709289550781,6.816080093383789,0.0003,0.5896536707878113,30.86954284273088,548.4370172325586
train,430,5.9163713455200195,6.5253214836120605,0.0003,0.7213689088821411,31.158099686726928,541.3038718527743
train,440,6.215644836425781,6.852285385131836,0.0003,0.5935124158859253,30.901725644245744,545.3093524289266
