event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second
train,240,0.7452682256698608,0.8281949758529663,0.00020959970644598598,0.5144915580749512,6.360248195007443,136.47266166143444
train,250,0.7096120119094849,0.7895846962928772,0.00020231323597702088,0.5067151188850403,6.447470525279641,133.0754435613006
train,260,0.7085690498352051,0.789547324180603,0.00019490703673879665,0.5724106431007385,6.43696796707809,133.75862741644661
train,270,0.6938273906707764,0.7717445492744446,0.00018737699063720454,0.5376029014587402,6.459098169580102,131.75213902273333
train,280,0.6553983092308044,0.7250217795372009,0.00017974562758403648,0.5271338224411011,6.447403175756335,133.38703607582516
train,290,0.6560245156288147,0.7291164994239807,0.00017205123626163788,0.4868150055408478,6.393836107105017,135.4429462209198
train,300,0.5564118027687073,0.6228797435760498,0.00016441154228958002,0.5120502710342407,6.520319806411862,134.50260509271152
validation,300,1.0766252454121907,1.1874633089701334,,,,
train,310,0.5747172236442566,0.6427359580993652,0.0001566961253541413,0.5777553915977478,6.3959422670304775,136.96183665002206
train,320,0.5341358184814453,0.5992215275764465,0.00014903856826202713,0.6047614812850952,6.351778067648411,139.48850078888535
train,330,0.5644874572753906,0.6336785554885864,0.00014146758593733413,0.5540134906768799,6.364288441836834,136.3860246015942
train,340,0.5583456158638,0.6273816227912903,0.00013395245755007385,0.5644721984863281,6.6173322051763535,130.8684486661526
train,350,0.5155381560325623,0.5821212530136108,0.00012654780802538382,0.5805246233940125,6.38806813582778,136.81757636524412
train,360,0.5507541298866272,0.61732017993927,0.00011923962264714955,0.5842024087905884,6.410090336576104,133.07144754774592
train,370,0.5644261837005615,0.6335515975952148,0.00011207106437727981,0.6079141497612,6.329625861719251,141.71453725644966
train,380,0.5473078489303589,0.6142351627349854,0.00010510883047127131,0.5918673276901245,6.557127946987748,134.66261557480172
train,390,0.5606143474578857,0.6296164393424988,9.836113131234402e-05,0.6037733554840088,6.387505888938904,138.86484261971444
train,400,0.36870524287223816,0.4270024299621582,9.17934048593222e-05,0.4429200291633606,6.453937359154224,134.4915439516676
validation,400,1.0975452550252278,1.206832504272461,,,,
train,410,0.3487449884414673,0.4056417644023895,8.548681318460826e-05,0.5427598357200623,6.37544116191566,137.87281188489277
train,420,0.36746835708618164,0.4262356162071228,7.941634248574025e-05,0.48418545722961426,6.430231334641576,135.29839825715916
train,430,0.3535810708999634,0.4112761914730072,7.360483513394023e-05,0.5049394369125366,6.468558251857758,132.64161295194089
train,440,0.35086894035339355,0.40826350450515747,6.80873901367883e-05,0.525368332862854,6.6072389613837,131.52241126420716
train,450,0.3498955965042114,0.4057149887084961,6.292758464201594e-05,0.5652762651443481,6.367702832445502,138.66853137379934
train,460,0.3503645658493042,0.4066043794155121,5.806048875277456e-05,0.5204285979270935,6.481389628723264,131.76186727231598
train,470,0.3551690876483917,0.4111277461051941,5.3559616401595754e-05,0.5164423584938049,6.346759978681803,134.55684520424742
train,480,0.3612118363380432,0.41695332527160645,4.9394664573624574e-05,0.6190252900123596,6.410990297794342,136.79633867200297
train,490,0.24941730499267578,0.2981545627117157,4.562802923426869e-05,0.34551098942756653,6.35974183306098,137.42696212235063
train,500,0.2390211522579193,0.2850426435470581,4.2247608653575644e-05,0.3546161353588104,6.5353522673249245,130.9799326778113
validation,500,1.1478302955627442,1.25726011912028,,,,
train,510,0.257151335477829,0.30600273609161377,3.925605772465624e-05,0.4209308922290802,6.388672187924385,134.76978856849598
train,520,0.25701937079429626,0.3026934266090393,3.6663458856401786e-05,0.42216750979423523,6.645066084340215,128.51640437595336
train,530,0.2537088394165039,0.2999356985092163,3.44893062027185e-05,0.3700307607650757,6.358713338151574,137.44919035052217
train,540,0.2818836569786072,0.33283060789108276,3.274202383116178e-05,0.4310402572154999,6.38163891993463,133.3513241154542
train,550,0.25559383630752563,0.3003833591938019,3.1414996521309266e-05,0.4492615759372711,6.558189811185002,134.18336848060707
train,560,0.2628422975540161,0.30913835763931274,3.052134196649578e-05,0.37954235076904297,6.371783584356308,136.69641921587493
train,570,0.2564980685710907,0.30410468578338623,3.006603279751644e-05,0.4020310342311859,6.344143595546484,137.76485144717373
validation,576,1.1787232716878255,1.290515848795573,,,,
rank_verification,576,,,,,,
